מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2019 - מועד א',מה יש בתאים פרוקריוטיים שאין באאוקריוטיים?,אלונגציה בתרגום,צימוד בין שיעתוק לתרגום,שיחבור אחרי שיעתוק,שיכפול לא רציף של אחד הגדילים,,,2,גנטיקה,FALSE,,40
שחזורים 2019 - מועד א',אילו מהמקרים הבאים זה דוגמה להורשה שתלוייה בכמה גנים (phylogenetic inheritance),צבע אפון )צהוב או ירוק(,אנמיה חרמשית,סוג דם בבני אדם,צבע עור,,,4,גנטיקה,FALSE,,41
שחזורים 2019 - מועד א',"הארכה של גדילי דנ""א היא תמיד מכיוון 5 'ל-3. הסיבה לכך היא: _____","רק רנ""א פולימרז יודע להוסיף נוקלאוטידים ל-5'","דנ""א פולימרז חייב להשתמש בפריימר של רנ""א",מזלג החלוקה לא אותו הדבר עם סכין החלוקה?)משהו הזוי כזה...(,"דנ""א פולימרז יודע להוסיף נוקלאוטידים ל-3'",,,4,גנטיקה,FALSE,,42
שחזורים 2019 - מועד א',"בניסוי הזבובים של תומאס ה. מורגן, כשהכליא את הזבובים בעלי העיניים האדומות ב-F1
זה לזו, התקבלו גם זבובי F2 בעלי עיניים אדומות וגם בעלי עיניים לבנות. תוצאות הניסוי
הראו שכל הזבובים בעלי עיניים לבנות היו זכרים. מה היה ההסבר שהציע לכך?",הגן המעורב נמצא על כרומוזום X,הגן המעורב נמצא על כרומוזום Y,זכרים מפרישים הורמונים זכריים שמשפיעים על שינוי צבע העין,"הגן המוערב נמצא על אוטוזום)כרומוזום שאינו כ. מין(, אבל רק בנקבות",,,1,גנטיקה,FALSE,,43
שחזורים 2019 - מועד א',שאלו מה נכון לגבי tRNA שמגיע לריבוזום כשהוא טעון בחומצה אמינית,הוא מגיע קודם כל לA,מגיע לP ואז לA,,,,,1,גנטיקה,FALSE,,46
שחזורים 2019 - מועד א',מה גילו בניסוי המפורסם של מתיו מסלסון ופרנקלין שטאל?,ביצעו ניסוי בו גילו כי שכפול דנא מתבצע בשיטה הסמי קונסרביטיבית,היו קונסרבטיבים שלא המשיכו בניסוי עקב שמרנותם,גילו שהדנא דיספרסיבי,,,,1,גנטיקה,FALSE,,47
שחזורים 2019 - מועד א',מהו פרומוטור?,רצף נוקלאוטידים שמקדם שכפול דנא,מדען בעל ידע רב שמפיץ את הידע הביולוגי,רצף קצר של דנא שמוביל לשכפול דנא בעזרת דנא פולימראז,רצף נוקלאוטידים אליו מתחבר רנא פולימראז,,,4,גנטיקה,FALSE,,48
שחזורים 2019 - מועד א',סמנו את הסעיף הנכון בנוגע לתכונה דומיננטית:,מועדפת יותר על בני הזוג,מאפשרת שינויים אבולוציוניים מהירים יותר,עדיפה עקב הימצאות יותר נוקלאוטידים g-c שיוצרים קשרים חזקים יותר,אף תשובה אינה נכונה,,,4,גנטיקה,FALSE,,49
שחזורים 2019 - מועד א',מה לא נכון בנוגע לקודון AUG?,משמש כcodon start,מקודד לחומצה האמינית מתיונין,יכול להופיע מספר פעמים ברצף הגני,משמש כcodon stop,,,4,גנטיקה,FALSE,,50
שחזורים 2020 - מועד א',במה עוסק התחום של אקולוגיה?,חקר המגוון הגנטי של בעלי החיים,השפעת האקלים על תפוצת המינים,יחסי הגומלין בין בעלי החיים לסביבתם,עוסק בשמירת טבע,,,3,אקולוגיה,,,
שחזורים 2020 - מועד א',לאזור מסוים מופצת לריאה וגדלה בו כאשר לאחר זמן מסוים מופץ לשם גם הצבר וגורם להכחדת הלריאה באזור. בהמשך השורשים של הצבר נחשפים בגלל הרוח וגם הוא נכחד. כעבור זמן מה הלריאה מופצת שוב והתהליך חוזר על עצמו. באיזה תהליך מדובר?,סוקצסיה מעגלית,סוקסציה כיוונית,סוקצסיה משנית,הפרעה הדדית,הפרעה בינונית,,1,אקולוגיה,,,
שחזורים 2020 - מועד א',מה הכי נכון לגבי כימות של גודל האוכלוסייה?,שיטת שביה ושביה חוזרת מתאימה רק למינים ניידים ואילו שיטת מדגם ואקסטרפולציה מתאימה למינים נייחים,השיטה של ספירת מינים טובה רק למינים נייחים שנמצאים בכמות מועטה,הסרת האוכלוסיה ומדידת קצב האכלוס מחדש מתאים רק למינים שאינם אנדמיים,שיטת המדגם ואקסטרפולציה מתאימה לשטח הומוגני ולא הטרוגני,כל התשובות נכונות,,5,אקולוגיה,,,
שחזורים 2020 - מועד א',יש אזור A בו הפיזור אחיד ואזור B בו הפיזור מקובץ. מהי הסיבה לפיזור זה?,באזור A אין תחרות ואילו באזור B המשאבים נמצאים באזורים ספציפיים,אזור A הוא מעשה ידי אדם שכן לא ייתכן פיזור אחיד באופן טבעי,,באזור A קיימת תחרות על המשאבים שכנראה מוגבלים ואילו באזור B המשאבים נמצאים באזורים ספציפיים,,,4,אקולוגיה,,,
שחזורים 2020 - מועד א',מה נכון לגבי הקשר בין גודל בית הגידול ומספר המינים בו?,אין קשר בין גודל בית הגידול ומספר המינים בו,,קיים קשר לינארי חיובי בין גודל בית הגידול ומספר המינים,יש קשר חיובי בין מספר המינים לגודל השטח עד לנקודה מסוימת בה מספר המינים מתמתן,,,4,אקולוגיה,,,
שחזורים 2020 - מועד א',הבונים בונים סכרים על מנת להאט את זרימת המים והצפת אזורים. כיצד ניתן לקרוא להם?,מינים דומיננטיים,Keytone species,מהנדס סביבתי,,,,3,אקולוגיה,,,
שחזורים 2020 - מועד א',מה מהמשפטים הבאים מייצג הכי נכון את הקשר ליצרנות ראשונית?,בים היצרנות הראשונית הכי גדולה באזורים הקרובים ליבשת ולחוף,בים היצרנות הראשונית קשורה לקרבה לקו המשווה,ביבשה היצרנות הראשונית תלויה במים בלבד.,ביבשה היצרנות הראשונית מוגבלת בצירנות השניונית,לא ידוע מה הקשר בין היצרנות הראשונית ליצרנות השניונית,,1,אקולוגיה,,,
שחזורים 2020 - מועד א',מה דומה או שונה בין מחזור הפחמן לחנקן? סמן את המשפט שנכון כולו,פחמן הוא גלובלי לעומת החנקן שהוא מקומי,"האדם משפיע מאוד על המחזורים, על ידי שריפת דלקים וקיבוע חנקן",גם החנקן וגם הפחמן בצורה הגזית שלהם מקובעים על ידי האדם,"הצמחים חייבים פחמן וחנקן, אשר נצרכים מהקרקע, כדי לצמוח",,,2,אקולוגיה,,,
שחזורים 2020 - מועד א',במה מהבאים הסיכוי הנמוך ביותר להכחדת מינים ?,צייד פילים,דייג יתר של דגים,החדרת מינים פולשים לאיזורים בהם יש מינים אנדמיים(מקומיים) ברחבי כדור הארץ.,ביעור יערות טרופיים,פגיעה בשכבת האוזון על ידי CFC,,5,אקולוגיה,,,
שחזורים 2020 - מועד א',מה מהבאים לא נכון לגבי הדברה ביולוגית?,הדברה ביולוגית לא תצליח להביא להכחדה מוחלטת,הדברה ביולוגית ספציפית למין שממנו רוצים להיפטר,הדברה ביולוגית משחררת רעלים לסביבה,,,,3,אקולוגיה,,,
שחזורים 2020 - מועד א',כיצד נוצר קשר פפטידי?,,קבוצה קרבוקסילית של מולקולה אחת מתחברת לקבוצת אמינו של מולקולה שניה באמצעות הידרוליזה,קבוצה קרבוקסילית של מולקולה אחת מתחברת לקבוצת אמינו של מולקולה שניה באמצעות דהידרציה,קשר הנוצר בין קבוצת קרבוקסיל של חומצת אמינו אחת לקבוצת הצד R של חומצת אמינו אחרת,,,3,כימיה של החיים,,,
שחזורים 2020 - מועד א',איזה קבוצה פונקציונלית יש במולקולה?,קבוצת קרבוקסיל,קבוצת תיול,קבוצת מתיל,א+ג,,,4,כימיה של החיים,,https://i.imgur.com/XJ2SV9S.png,
שחזורים 2020 - מועד א',ממה מורכבים שומנים?,,,גליצרול וחומצות שומן,גליצרול וחומצות אמינו,,,3,כימיה של החיים,,,
שחזורים 2020 - מועד א',בציור מולקולת מים ואמוניה. מה נכון לגבי הקשרים ביניהם?,קשרים בין החמצן למימנים הם קשרי מימן ובין החנקן למימנים הם קשרים קוולנטים,הקשרים בין החמצן למימנים הם קוולנטים ובין החנקן למימנים הם קשרי מימן,הקשרים בין החמצן למימנים ובין החנקן למימנים הם קשרי מימן ובין המולקולות קשרים קוולנטים,הקשרים בין החמצן למימנים ובין החנקן למימנים הם קשרים קוולנטים ובין המולקולות קשרי מימן,,,4,כימיה של החיים,,https://i.imgur.com/1ZL8Vs2.png,
שחזורים 2020 - מועד א',"מה מהבאים נכון לגבי דנ""א ורנ""א?","הדנ""א בנוי מסליל הליקס כפול ואילו רנ""א יכול להתקפל ולשנות את המבנה שלו","ברנ""א יש את הבסיס T ואילו בדנ""א U ושניהם מתחברים לבסיס A","הסוכר בדנ""א הוא ריבוז ואילו ברנ""א הסוכר הוא דאוקסיריבוז","דנ""א לא יכול לעבור דנטורציה ורנ""א כן",,,1,כימיה של החיים,,,
שחזורים 2020 - מועד א',מה נכון לגבי קבוצה סולפידרלית בחומצת אמינו?,,הקבוצה יכולה להיקשר לאותה קבוצה בחומצת אמינו אחרת בקשרים קוולנטיים,הקבוצה יכולה להיקשר לאותה קבוצה בחומצת אמינו אחרת בקשרים לא קוולנטיים,,,,2,כימיה של החיים,,,
שחזורים 2020 - מועד א',מה מהבאים נוצרו באמצעות דהידרציה?,קשר פפטידי,קשר גליקוזידי,קשר אסטרי,כל התשובות נכונות,,,4,כימיה של החיים,,,
שחזורים 2020 - מועד א',האנזים Taq polymerase נמצא בחיידקים החיים בטמפרוטורות של 50-80 מעלות. מה מהבאים נכון לגביו?,האנזים יעבור דנטורציה ב50-80 מעלות ולכן טוב להשתמש בו בטמפרוטורות אלו,יש לו יותר קשרים של A-T מאשר G-C,האנזים פועל טוב בטמפרטורות של 50-80 ולכן ישתמשו בו בטמפרטורות אלו,,,,3,כימיה של החיים,,,
שחזורים 2020 - מועד א',ממה מורכב נוקלאוטיד?,"בסיס חנקני, סוכר ופוספט",סוכר ופוספט בלבד,בסיס חנקני וסוכר בלבד,,,,1,כימיה של החיים,,,
שחזורים 2020 - מועד א',יש שני אננטיומרים כאשר אחד מהם מועיל ביולוגית בכך שמייצר חומר כלשהו והשני לא משפיע. במעבדה התבלבלו בין המבחנות. כיצד ניתן לדעת איזו מבחנה מכילה איזה אננטיומר?,לפי נקודת הרתיחה,לפי פעילות אופטית(מישור קיטוב האור),לבדוק איזה מהם מייצר את החומר הביולוגי,ב+ג,,,4,כימיה של החיים,,,
שחזורים 2020 - מועד א',איפה לא יהיה שינוי בפעילות עם האנזים ובלעדיו?,a,b,c,d,,,4,ביולוגיה של התא,,https://i.imgur.com/O147d8A.png,
שחזורים 2020 - מועד א',איפה מתקיים זרחון ברמת האנזים?,מעגל חומצות לימון,גליקוליזה,,גליקוליזה+מעגל חומצות לימון,,,4,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה נכון לגבי מערכת סגורה בשיווי משקל?,אין בה אנרגיה קינטית,,לא יכולה לבצע עבודה,,,,3,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה לא מתקיים במעגל קלווין?,שחרור חמצן,שימוש בATP,חמצון של NADH,שחזור של RuBP,,,1,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מי מהבאים טוב יותר בתנאים קיצוניים של חום גבוה?,C4,C3,לצמח עם הנקודת קומפנסציה הגבוהה יותר,ב+ג,א+ג,,1,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',הגיע לצמח אור באורך גל של 690 nm. מה מהבאים נכון?,יווצר רק גרדיאנט פרוטונים אך קטן יותר,לא יקרה כלום כי פוטוסיסתם 2 קולטת אורך גל רק עד 680 nm,תלוי בסוג הצמח C4 או C3,,יווצר NADH וATP כי פוטוסיסתם 1 קולטת אורך גל עד 700 nm,,1,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה מהבאים נכון לגבי המעגל הבא?,משמשים כמתווכים למעבר אנרגיה Pi ADP,ATP משמש לשמירת האנרגיה מהליכים קטבולים לעבודה תאית,,האנרגיה מהקטבוליזם משמשת ישירות לעבודה תאית,,,2,ביולוגיה של התא,,https://i.imgur.com/79NeLCh.png,
שחזורים 2020 - מועד א',בציור מופיע גרף של ספטקטרום הבליעה של כלורופיל a ושל ספקטרום הפעולה של המצח. למה קיים כזה הבדל?,פעילות אירובית של חיידקים משנה את המדידה,אורכי הגל הצהוב והירוק מפריעים לקליטת אורכי הגל האדום והכחול,חמצן הנפלט בתהליך הנשימה משבש את קליטת האור,יש פיגמנטים נוספים הקולטים אור,,,4,ביולוגיה של התא,,https://i.imgur.com/YBKFGip.png,
שחזורים 2020 - מועד א',מה יכל לגרום לצורה זו?,ליגאז,"דנ""א פולימראז","רנ""א פולימראז",אנזים רסטריקציה,,,4,גנטיקה,,https://i.imgur.com/YJYyM5x.png,
שחזורים 2020 - מועד א',"נתון דנ""א החתוך כמו בציור. אם נכניס אותו לג'ל אלקטרופרזה, כיצד יראה?",[-]    C                 A      B [+],[-] C              A              B [+],[-] B      A                 C   [+],,,,1,גנטיקה,,https://i.imgur.com/iv5HWG7.png,
שחזורים 2020 - מועד א',מה לא נכון לגבי פאגוציטוזה?,פעילות פסיבית של הכנסת הויזיקולה לתא,השלד התוך תאי משתתף בתהליך,החומר מועבר באמצעות ויזיקולות,,,,3,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',"במשאבת נתרן אשלגן, מה מתרחש במצב בו יש דה-פוספורילציה על המשאבה?",הזיקה ליוני אשלגן עולה,שחרור יוני הנתרן לחוץ התא,שחרור יוני אשלגן לתוך התא,הזיקה ליוני נתרן יורדת,,,3,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה נכון לגבי איתות פראקריני?,לאחר האיחוי יש פיזור בדיפוזיה ללא שימוש באנרגיה,המולקולות הן בהכרח הידרופוביות,התאים צריכים להיות במגע ישיר,מתרחש רק במערכת הדם,,,1,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',"במצב מנוחה של התא, היכן ריכוז יוני הסידן הוא הנמוך ביותר?",ציטוזול,ER,מחוץ לתא,מיטוכונדריה,,,1,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה נכון לומר על מעבר גליקוליפיד אל ממברנת הפלסמה?,עובר מהחלק שמחוץ לגולג'י הפונה לציטוזול אל החלק הפונה לציטוזול בממברנה הפלסמתית,עובר מתוך החלל הגולג'י לפנים הממברנה הפלסמתית,עובר מתוך החלל הגולג'י לחוץ הממברנה הפלסמתית,,,,3,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה לא מסונתז/מורכב בשלב G2?,ATP,DNA גנומי,mRNA,צנטרוזום,,,2,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה לא נכון לגבי сAMP?,מפעיל את protein kinase A,נוצר על ידי האנזים cyclic phosphodiestrase,,מחובר אליו פוספט אחד,,,2,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה נכון לגבי רצפטור מצומד לחלבון G?,חוצה את הממברנה פעם אחת,הקולטן הופך את GDP לGTP באמצעות זרחון,,לאחר קליטת הסיגנל מתרחש שינוי בקונפורמציה שלו,,,4,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',כיצד עלול להיווצר סרטן כתוצאה ממוטציה בקולטן TRK?,מוטציה המפחיתה את הקשירה של הרצפטורים אחד לשני,מוטציה המעודדת את קשירת הקולטן לפוספאטזות,מוטציה הגורמת לקולטן לגרום להידרוליזה לG,אפיוניות גבוהה יותר של הקולטן לליגנד,,,4,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה יווצר בשני הצדדים במישור החלוקה במטאפזה 2?,כרומוזומים הומולוגיים הזהים לכרומוזומים בתאים סומטיים,כרומוזומים הומולוגיים השונים מהכרומוזומים בתאים סומטיים,כרומוטידות אחיות הזהות לכרומוזומים בתאים סומטיים,כרומוטידות אחיות השונות מהכרומוזומים בתאים סומטיים,,,4,ביולוגיה של התא,,,
שחזורים 2020 - מועד א',מה מתקיים בניסויים של מנדל לפי Independent assortment?,,,,התכונות נמצאות על כרומוזומים שונים או על אותו כרומוזום אך במרחק אחד מהשני,,,,גנטיקה,,,
שחזורים 2020 - מועד א',נמצאים על אותו כרומוזום ועוברים A C  רקומבינציה ביניהם. מה נכון להגיד?,B שנמצא ליד A נמצא ליד C,הם נמצאים בסדר ABC,,,,,,גנטיקה,,,
שחזורים 2020 - מועד א',מה הניחו הרשי וצייס בניסוי שלהם על פאגים?,אין גופרית בחלבונים,,,"יש יותר זרחן בדנ""א מאשר בחלבונים",,,,גנטיקה,,,
שחזורים 2020 - מועד א',"מה ניתן להגיד על מצב בו הדנ""א פולימראז עושה טעות בשכפול?",,,,הטעויות מתרחשות בכוונה כי זה טוב לאבולוציה,,,4,גנטיקה,,,
שחזורים 2020 - מועד א',"דנ""א פולימראז עושה הארכה מקצה 5 ל3. מה ניתן להגיד על רנ""א?","רנ""א לא יכול להוסיף נוקלאוטיד לקצה 3 בגלל שיש שם cap",,"רנ""א משכפל בכיוון מזלג החלוקה","רנ""א משכפל כמו הדנ""א, מקצה 5 ל3",,,4,גנטיקה,,,
שחזורים 2020 - מועד א',מהו ההבדל בין פרוקריוטיים לאאוקריוטיים?,,,,צימוד בין תרגום לשעתוק,,,,גנטיקה,,,
שחזורים 2020 - מועד א',איפה נמצא אנטי קודון?,tRNA,mRNA,DNA,ריבוזום,,,1,גנטיקה,,,
שחזורים 2020 - מועד א',מהו פרומוטור,1.אזור בגנום שמקדם שעתוק ואליו מתקשר הרנא פולימרז,2.רצף של בסיסים שבו מתחיל שכפול דנא,3. תהליך מקוצר של קידוד,4. רצף של 3 נוקלאוטידים שמראה היכן מתחיל התרגום לחלבון,,,1,גנטיקה,,,
שחזורים 2020 - מועד א',מה הכוונה בredundant?,קודון יכול לקודד לכמה חומצות אמיניות,,,יש כמה קודונים אשר מקודדים לחומצה אמינית מסוימת,,,4,גנטיקה,,,
שחזורים 2020 - מועד א',ניסויים של מת'יו מסלזון ופרנקלין סטאל:,1. הראו ששכפול עובד בשיטת המודל הסמי קונסרבטיבי,2 היו קונסרבטיבים שמרנים,?,הראו ששכפול הוא דפרסיבי,,,1,גנטיקה,,,
בחנים מהמודל,איזה מהבאים מהווה דוגמא ל- bioremediation?,הוספה של מיקראורגניזמים שפעולתם מנמיכה את החשיפה לאורניום וכרומיום,שימוש בדחפורים על מנת ליצור מכרות להוצאת מינרלים מן הקרקע,להטות זרימה של נהר על מנת לשקם סביבה שניזוקה,הוספה של מיקרואורגניזמים מקבעי חנקן לסביבה על מנת להעלות את זמינותו,,,1,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,מה המשפט הלא נכון בנוגע למגוון המינים על איים:,"ככל שהאי גדול יותר, הסיכוי להכחדת מין נמוך יותר","ככל שהאי מבודד יותר, יהיו בו יותר מינים","ככל שמספר המינים באי באי גדול יותר, הסיכוי להגירת מין חדש קטן יותר",עושר המינים יהיה הגבוה ביותר באי גדול שקרוב ליבשת,,,2,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,"בדוגמא של הציפור ממין שכווי ערבות, מהי הסיבה העיקרית לכך שהמין בסכנת הכחדה באילנוי?","תחרות עם מינים דומים, שהביא האדם ממקומות אחרים בצפון אמריקה",גודל אוכלוסיה מקורי גדול גרם לניצול יתר של משאבים ולכן האוכלוסיה נהייתה יותר ויותר מצומצמת,בעיה בפוריות שגרמה לגודל אוכלוסיה קטן ומגוון גנטי מצומצם,בית גידול שלא היה מותאם לצרכים של ציפורים ממין זה,,,3,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,"איזו רמת תדירות של הפרעה (disturbance) לסביבה, צפויה לגרום למגוון המינים הגבוה ביותר בסביבה מסויימת?",תדירות ביניים,"תדירות הפרעה מינימלית, כזו שלא משנה את הרכב החברה",תדירות גבוהה,תדירות הפרעה לא משפיעה על המינים בצורה צפויה,,,1,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,לאיזה מהבאים יש את ההשפעה הרבה ביותר על קצב של מעגלים ביוכימיים?,יעילות טרופית של האקוסיסטמה,מיקום מאגרי הנוטריינטים באקוסיסטמה,קצב פירוק החומרים באקוסיסטמה,יעילות הייצור של הצרכנים באקוסיסטמה,,,3,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,מהו האיום המשמעותי ביותר על המגוון הביולוגי?,"זיהום של האוויר, המים והקרקע בכדור הארץ",הכרת מינים חדשים שמתחרים עם מינים מקומיים,ניצול יתר של מינים הרגישים להכחדה,הרס בתי גידול,,,4,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,ההבדל בין הייצור הראשוני ברוטו (Gross primary production) לייצור הראשוני נטו (Net primary production) הוא:,היחס בין ביומסת היצרנים לזו של הצרכנים,GPP הוא ברמת התא ו- NPP ברמת האורגניזם,האנרגיה שיצרנים ראשוניים משקיעים במטבוליזם ונשימה,האנרגיה שמאוחסנת ברקמה צמחית,,,3,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,איזו מהדוגמאות הבאות מבטאות top-down control?,השפעה של טמפרטורה על תחרות בין צמחים,השפעה של כמות הצוף בצמח על הכשירות של הדבורה,"השפעה של היקף הרעייה (grazing) ע""י הבייזון על מגוון הצמחייה",כל התשובות נכונות,,,3,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,מה הוא התפקיד החשוב ביותר של אורגניזמים המבצעים פוטוסינתזה במערכת אקולוגית?,ייצור רקב עבור אורגניזמים מפרקים,המרת חומרים אנאורגניים לחומרים אורגנים,ספיגה של קרינה מזיקה מהשמש,"ייצור נוטריינטים שונים, בעיקר חנקן וזרחן",,,2,אקולוגיה,FALSE,,מודל - בוחן 2
בחנים מהמודל,מה מהבאים אינו נכון בנוגע למעגל החנקן?,בתהליך דניטריפיקציה חנקן משתחרר חזרה לאטמוספירה,"בגלל שמעגל החנקן הינו תהליך טבעי, לאדם אין השפעה על תהליך בסדר גודל שכזה",ניטריפיקציה הוא תהליך בו אמוניה מתחמצנת ומתקבל ניטראט,תוספת חנקן לבית הגידול גורמת לצמצום מגוון המינים,,,2,אקולוגיה,FALSE,,מודל - בוחן 2
שאלות לדוגמה,"ציינו שלוש רמות ארגון בביולוגיה, ברמת מורכבות הולכת ועולה:","בעל חיים, רקמות, תאים.","אוכלוסיות, חברות, אקוסיסטמות.","יצרנים ראשוניים, צרכנים ראשוניים, צרכנים שניוניים.","תולעים, פרוקי רגליים, חולייתנים.",כל התשובות נכונות.,,2,אקולוגיה,FALSE,,שאלות לדוגמה מינון
שאלות לדוגמה,"הר הגעש הפעיל בשם וזוב התפרץ והחריב את הצמחייה ברדיוס של מספר קילומטרים. לאחר שנה, הופיעו באזור טחבים ועשבים, לאחר מכן צמחים חד-שנתיים, בשנים הבאות גדלו מספר צמחים מעוצים נמוכים, לאחר מכן שיחים ולבסוף עצים. כיצד נכון לתאר את התהליך המתואר?",הסט תכונות (character displacement).,מבנה טרופי.,היפותזת ההפרעה הבינונית.,אקוטון.,סוקצסיה כיוונית.,,5,אקולוגיה,FALSE,,שאלות לדוגמה מינון
שאלות לדוגמה,מה נכון לגבי הקשר בין גודל בית הגידול ומספר המינים בו?,אין קשר בין גודל בית הגידול ומספר המינים בו.,קיים קשר לינארי חיובי בין גודל בית הגידול ומספר המינים (פונקציה ישרה עם שיפוע חיובי).,"עם העלייה בגודל בית הגידול, מספר המינים עולה גם כן, אם כי בקצב הולך ומתמתן.",מדובר בהיפותזות בלבד שעד עתה לא נמצאה דרך להעמיד אותן במבחן.,,,3,אקולוגיה,FALSE,,שאלות לדוגמה מינון
שאלות לדוגמה,באילו מהסביבות הבאות יש לארכיאולוגים הסיכוי הגבוה ביותר למצוא מומיות מהעבר הרחוק?,עמוק ביער טרופי במלזיה.,במדבר קלהרי שבנמיביה.,באי היווני קרפתוס (אקלים ים-תיכוני).,בסוואנה שבקניה.,כל התשובות נכונות.,,2,אקולוגיה,FALSE,,שאלות לדוגמה מינון
שאלות לדוגמה,מה אינו נכון לגבי יעילות טרופית?,רוב האנרגיה אינה עוברת לרמה הטרופית הבאה אלא אובדת בצורת חום.,מספר הרמות הטרופיות במערכת מוגבל על-ידי היעילות הטרופית.,"יונקים וציפורים יעילים יותר מבחינה טרופית בניצול האנרגיה בהשוואה לדגים או חרקים, כיוון שיונקים וציפורים הם אנדותרמים.",צמחים מנצלים רק אחוז קטן מהאור שמגיע אליהם מהשמש.,"גורמים מגבילים, כמו מים זמינים או נוטריאנטים, יכולים לדרדר את היעילות הטרופית.",,3,אקולוגיה,FALSE,,שאלות לדוגמה מינון
שאלות לדוגמה,מה מהמשפטים הבאים נכון לגבי קיטוע (פרגמנטציה) של בתי גידול למספר אזורים קטנים?,מדובר בדרך העיקרית בה מינים נכחדים כיום.,"אין בעיה חמורה בקיטוע בית הגידול, כל עוד השטח הכולל של בית הגידול נשאר דומה.",קיטוע בית גידול נחשב כשינוי סביבה גלובלי.,ניתן להקל על הבעיה בעזרת הקמת מסדרונות אקולוגיים.,קיטוע בית הגידול למספר אזורים קטנים מוביל להגדלה חסרת פרופורציה של שטח בית הגידול ביחס להקף שלו (שטח לחלק בהקף).,,4,אקולוגיה,FALSE,,שאלות לדוגמה מינון
בחנים מהמודל,סמנו את ההיגד הלא נכון:,במולקולת מים צפיפות ענן האלקטרונים גבוהה יותר בקרב אטום החמצן.,בקשר קוולנטי לא פולרי (לא קוטבי) - צפיפות ענן האלקטרונים מתחלקת באופן שווה בין אטומי הקשר.,קשרי מימן הם קשרים לא קוולנטיים הנוצרים בין אטום מימן המחובר בקשר קוולנטי לאטום אלקטרושלילי - לאטום אלקטרושלילי במולקולה אחרת.,בקשר קוולנטי פולרי (קוטבי) - צפיפות ענן האלקטרונים מתחלקת באופן שווה בין אטומי הקשר.,,,4,כימיה של החיים,FALSE,,מודל - בוחן 3
בחנים מהמודל,מדוע קרח צף על פני מים נוזליים?,צפיפות הקרח זהה לצפיפות המים הנוזליים.,צפיפופת הקרח גבוהה מצפיפות המים הנוזליים.,צפיפות הקרח נמוכה מצפיפות המים הנוזליים.,אין קשר בין צפיפות ליכולת ציפת הקרח.,,,3,כימיה של החיים,FALSE,,מודל - בוחן 3
בחנים מהמודל,מהם הקשרים המעניקים למים את התכונות הייחודיות שלהם?,קשרים יוניים,קשרי מימן,קשרי ואן דר ואלס,קשרים כפולים,,,2,כימיה של החיים,FALSE,,מודל - בוחן 3
בחנים מהמודל,מה נכון עבור תרכובות יוניות (מלחים)?,"כאשר תרכובת יונית מומסת במים, כל יום מוקף על ידי ספירה של מולקולות מים (Hydration shell).",כל התשובות נכונות.,לרוב ימצאו בטבע כגבישים (קריסטלים).,אלו תרכובות הנוצרות על ידי קשרים יוניים.,,,2,כימיה של החיים,FALSE,,מודל - בוחן 3
