מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,הערות
שחזורים - 2018 מועד א',Cytochalasin Dהוא אנזים שפוגע ביצור סיבי אקטין. מה מהבאים עדיין יוכל להתרחש אם מישהו יטופל בתרופה זו?,ציטוקינזה,רדיפת נויטרופיל אחרי חיידק,מעבר של וזיקולה מה- ER לגולג'י,תנועת כיווץ שרירים.,,,,,
שחזורים - 2018 מועד א',מה מגביל את גודל התא,מספר החלבונים בממברנת התא,יחס גודל המיטוכונדריה- לגודל התא,יחס שטח פנים לנפח,כמות הקשרים בין הציטוסקלטון לממבראנה,,,2,ביולוגיה של התא,
שחזורים - 2018 מועד א',מה נבדק בM CHECKPOINT במיטוזה?,המצאות סיגנאל מ growth factor,כמות נוטריינטים,שלמות הDNA המשוכפל,דיוק הDNA המשוכפל,חיבור הכרומטידות האחיות אל ה kinetochore microtubules,,5,ביולוגיה של התא,
שחזורים - 2018 מועד א',מה יתרום לפלואידיות של הממבראנה של תא אם יועבר לסביבה בה הטמפ' נמוכה?,הפחתת קשרים כפולים בחומצות שומן שמרכיבות את הממבראנה,הגדלת ריכוז הכולסטרול בממבראנה,הוספת קבוצות טעונות לראשים של הפוספוליפידים,הגדלת אורך חומצות השומן-שיהיו יותר ארוכות,,,,ביולוגיה של התא,
שחזורים - 2018 מועד א',.מה ההבדל בין ERM לPM,PM דו שכבתית וERM לא,הוזיקולות נעשות רק בPM,הרכב החלבונים שמרכיב אותם,לPM יש תנועהXX ולERM אין תנועה כזו,,,,,
שחזורים - 2018 מועד א',למה בניסיו של מנדל דור הF1 תמיד הציג את אחד משני הפנוטיפים שהראה אחד מההורים ?,הגנים לא עברו אינטראקציה,לכל אחד מהאללים היתה השפעה פנוטיפית,אלל אחד היה דומיננטי,הגנים התערבבו בזמן ההפריה,,,3,גנטיקה,
שחזורים - 2018 מועד א',איזה תהליך קורה בפרוקריוטים ולא באוקריוטים,טלפורטציה,שחבור,צמוד בין שעתוק לתרגום,,,,,,
שחזורים - 2018 מועד א',מה מסביר את התופעה של מחלות מרובות גברים בלבד?,הורמונים נשיים מפצים על פגמים אפשריים,יש להם כרומוזום X אחד,,,,,2,גנטיקה,
שחזורים - 2018 מועד א',איזה מההבאות מבטאת פוליגניות,צבע עור,מורפולוגיה של אפונים (אפון מקומט או אפון עגול),2 צבעים בפרח,בעלי סוג דם ABO,,,1,גנטיקה,
שחזורים - 2018 מועד א',בניסוי הזבובים של מורגן התקבלו צאצאים בדור F1 עם עיניים אדומות ורק לזכרים עיניים לבנות. מה אפשר ללמוד מכן?,הגן מקושר לכרומוזום Y,הגן הינו אוטוטרופי,הגן מצומד לכרומוזום X,הגן הינו גן דומיננטי אבל משפיע רק על זכרים,,,,גנטיקה,
שחזורים - 2018 מועד א',אלל דומיננטי הוא,נפוץ בקרב האוכלוסיה,מזרז את האבולוציה,"בנוי אחרת, מכיל יותר נואקלאוטידים של c ו g ולכן יותר חזק",אף אחת מהתשובות,,,,גנטיקה,
שחזורים - 2018 מועד א',tRNA שמגיע לריבוזום כשאליו קשורה חומצת אמינו,נכנס לa,עובר מp לe,"tRNA בכלל לא מגיע עם חומצת אמינו קשורה, הוא קושר אותה במפגש עם mRNA",הוא מתפרק לבסיסיו על מנת שלא יפריע לפעולה ויתקע אותה,,,,ביולוגיה של התא,
